REG_NO|ITEM_SKU|BUYER_EMAIL|PURCHASED_ON|SALES_CH|COVER_YRS|ZONE
WR-202600032|SKU-P1011|mia.egan138@example.com|27.05.2026|SHOP|1|AMER
WR-202500033|SKU-P1038|diego.berg11@example.com|05.03.2025|WEB|1|EMEA
WR-202600034|SKU-P1073|sofia.bauer438@example.com|05.07.2026|MKT|1|EMEA
WR-202600035|SKU-P1079|noah.duarte232@example.com|02.01.2026|MKT|5|APJ
WR-202500036|SKU-P1112|orders@quinn0.example.com|30.04.2025|BULK|3| EMEA 
WR-202500037|SKU-P1036|tara.weber558@example.com|23.05.2025|WEB|1|LATM
WR-202500038|SKU-P1052|aisha.romero456@example.com|26.03.2025|WEB|1|EMEA
WR-202500039|SKU-P1067|arjun.holm265@example.com|14.11.2025|MKT|1|EMEA
WR-202500040|SKU-P1034|ethan.romero306@example.com|25.06.2025|SHOP|2|EMEA
WR-202600041|SKU-P1045|kenji.ferreira523@example.com|11.02.2026|WEB|1|EMEA
WR-202500042|SKU-P1033|lucas.dubois432@example.com|06.03.2025|MKT|2| EMEA 
WR-202500043|SKU-P1040|sam.kowalski29@example.com|21.06.2025|WEB|1|EMEA
WR-202600044|SKU-P1092|lucas.petrov252@example.com|22.05.2026|MKT|1|EMEA
WR-202500045|SKU-P1033|jonas.lindqvist61@example.com|21.06.2025|SHOP|1|AMER
WR-202500046|SKU-P1075|orders@klein136.example.com|19.11.2025|BULK|1|APJ
WR-202600047|SKU-P1057|arjun.dubois80@example.com|16.08.2026|SHOP|1|APJ
WR-202600048|SKU-P1097|nadia.hartley451@example.com|04.07.2026|SHOP|3|AMER
WR-202500049|SKU-P1038|orders@egan789.example.com|14.08.2025|WEB|3| EMEA 
WR-202500050|SKU-P1004|sofia.nguyen417@example.com|01.10.2025|WEB|1|EMEA
WR-202500051|SKU-P1002|unknown.buyer51@example.net|26.12.2025|WEB|3|EMEA
WR-202600052|SKU-P1079|kenji.silva675@example.com|24.07.2026|SHOP|1|APJ
WR-202600053|SKU-P1042|orders@weber262.example.com|15.01.2026|BULK|3|EMEA
WR-202500054|SKU-P1010|marco.costa156@example.com|18.09.2025|SHOP|1|AMER
WR-202500055|SKU-P1063|yuki.ferreira504@example.com|21.12.2025|SHOP|1|AMER
WR-202500056|SKU-P1053|nadia.jensen722@example.com|21.12.2025|MKT|2|AMER
WR-202500057|SKU-P1000|marco.quinn247@example.com|10.06.2025|SHOP|1|AMER
WR-202500058|SKU-P1014|elsa.duarte547@example.com|23.08.2025|MKT|1|AMER
WR-202600059|SKU-P1015|unknown.buyer59@example.net|07.04.2026|BULK|2|EMEA
WR-202600060|SKU-P1102|kenji.hartley437@example.com|09.07.2026|WEB|2|APJ
WR-202600061|SKU-P1005|zoe.okafor431@example.com|29.06.2026|MKT|3|AMER
WR-202500062|SKU-P1027|nadia.reyes108@example.com|21.02.2025|WEB|1|AMER
WR-202600063|SKU-P1057|orders@fontaine593.example.com|14.01.2026|BULK|2|LATM
WR-202500064|SKU-P1075|tara.weber558@example.com|16.11.2025|MKT|1|LATM
WR-202600065|SKU-P1052|zoe.novak481@example.com|01.05.2026|WEB|1|AMER
WR-202500066|SKU-P1037|nadia.meyer468@example.com|11.12.2025|SHOP|3|EMEA
WR-202500067|SKU-P1040|maya.petrov765@example.com|18.11.2025|WEB|2|LATM
WR-202500068|SKU-P1023|orders@lindqvist444.example.com|06.06.2025|WEB|1|APJ
WR-202500069|SKU-P1101|mia.moreau583@example.com|15.01.2025|WEB|1|AMER
WR-202600070|SKU-P1026|sofia.barros24@example.com|13.07.2026|SHOP|1|AMER
WR-202600071|SKU-P1093|yuki.nguyen190@example.com|18.07.2026|SHOP|1|APJ
WR-202600072|SKU-P1099|unknown.buyer72@example.net|25.08.2026|WEB|5|EMEA
WR-202500073|SKU-P1108|orders@quinn779.example.com|09.09.2025|BULK|2|EMEA
WR-202500074|SKU-P1113|unknown.buyer74@example.net|10.04.2025|WEB|1|APJ
WR-202500075|SKU-P1004|priya.lindqvist31@example.com|05.09.2025|SHOP|1|AMER
WR-202500076|SKU-P1057|elsa.fischer642@example.com|22.04.2025|WEB|5|AMER
WR-202600077|SKU-P1019|orders@costa237.example.com|01.05.2026|MKT|3|EMEA
WR-202600078|SKU-P1065|sofia.quinn82@example.com|21.03.2026|WEB|1|LATM
WR-202500079|SKU-P1066|orders@petrov573.example.com|22.05.2025|BULK|1|EMEA
WR-202600080|SKU-P1057|orders@quinn256.example.com|19.04.2026|WEB|1|AMER
WR-202500081|SKU-P1074|sofia.larsen405@example.com|27.05.2025|MKT|3|EMEA
WR-202600082|SKU-P1101|orders@kowalski707.example.com|13.08.2026|BULK|3|EMEA
WR-202600083|SKU-P1012|orders@fontaine79.example.com|10.07.2026|BULK|1|LATM
WR-202500084|SKU-P1040|zoe.novak112@example.com|17.06.2025|SHOP|3|EMEA
WR-202600085|SKU-P1088|orders@quinn361.example.com|18.02.2026|MKT|1|EMEA
WR-202500086|SKU-P1037|lena.duarte494@example.com|13.12.2025|WEB|2|AMER
WR-202500087|SKU-P1117|orders@holm550.example.com|15.10.2025|BULK|1|APJ
WR-202600088|SKU-P1109|aisha.haddad716@example.com|02.02.2026|SHOP|1|APJ
WR-202500089|SKU-P1070|clara.reyes243@example.com|11.12.2025|WEB|3|AMER
WR-202500090|SKU-P1056|nadia.fischer50@example.com|16.11.2025|SHOP|3|EMEA
WR-202500091|SKU-P1010|orders@hartley204.example.com|02.07.2025|BULK|1|APJ
WR-202600092|SKU-P1040|anders.petrov772@example.com|30.06.2026|MKT|1|AMER
WR-202500093|SKU-P1042|aisha.kowalski762@example.com|16.01.2025|SHOP|1|AMER
WR-202500094|SKU-P1085|unknown.buyer94@example.net|20.10.2025|BULK|1|EMEA
WR-202500095|SKU-P1061|orders@larsen123.example.com|01.04.2025|BULK|1|APJ
WR-202500096|SKU-P1081|kenji.tanaka799@example.com|25.10.2025|MKT|2|EMEA
WR-202500097|SKU-P1020|orders@sato462.example.com|10.10.2025|WEB|3|EMEA
WR-202500098|SKU-P1088|tomas.barros177@example.com|17.10.2025|WEB|1|EMEA
WR-202500099|SKU-P1016|lucia.barros65@example.com|10.11.2025|SHOP|1| AMER 
WR-202500100|SKU-P1077|orders@sato317.example.com|09.12.2025|BULK|1|AMER
WR-202500101|SKU-P1046|orders@bauer440.example.com|06.11.2025|BULK|3|AMER
WR-202500102|SKU-P1038|orders@meyer728.example.com|09.01.2025|BULK|1|AMER
WR-202600103|SKU-P1000|unknown.buyer103@example.net|06.04.2026|BULK|2|EMEA
WR-202600104|SKU-P1097|priya.berg770@example.com|29.07.2026|WEB|2|APJ
WR-202500105|SKU-P1009|ines.reyes491@example.com|21.10.2025|MKT|1|EMEA
WR-202500106|SKU-P1082|leo.ito680@example.com|24.02.2025|SHOP|2|EMEA
WR-202600107|SKU-P1026|orders@bauer658.example.com|07.08.2026|BULK|1|LATM
WR-202500108|SKU-P1117|orders@voss534.example.com|24.11.2025|BULK|2|AMER
WR-202500109|SKU-P1034|orders@meyer280.example.com|01.01.2025|BULK|3|EMEA
WR-202500110|SKU-P1015|leo.weber730@example.com|23.04.2025|SHOP|2|APJ
WR-202600111|SKU-P1106|orders@quinn0.example.com|06.04.2026|BULK|1|EMEA
WR-202600112|SKU-P1038|orders@voss631.example.com|09.07.2026|BULK|1|LATM
WR-202600113|SKU-P1106|viktor.costa625@example.com|26.04.2026|SHOP|1|AMER
WR-202600114|SKU-P1068|felix.barros124@example.com|17.08.2026|MKT|3|LATM
WR-202500115|SKU-P1032|ethan.sato760@example.com|20.12.2025|WEB|1|EMEA
WR-202500116|SKU-P1096|orders@meyer280.example.com|01.01.2025|BULK|2|EMEA
WR-202500117|SKU-P1013|lena.klein197@example.com|26.11.2025|WEB|3|LATM
WR-202500118|SKU-P1054|orders@kowalski707.example.com|27.10.2025|BULK|3|EMEA
WR-202600119|SKU-P1082|kenji.fischer394@example.com|21.04.2026|SHOP|1|LATM
WR-202500120|SKU-P1000|zoe.holm714@example.com|11.01.2025|SHOP|1|AMER
WR-202600121|SKU-P1075|ethan.ortiz501@example.com|27.05.2026|WEB|3| EMEA 
WR-202500122|SKU-P1117|orders@meyer257.example.com|13.11.2025|BULK|2|APJ
WR-202600123|SKU-P1097|orders@ito273.example.com|17.07.2026|BULK|5|EMEA
WR-202600124|SKU-P1071|freya.ortiz44@example.com|02.01.2026|WEB|1|AMER
WR-202600125|SKU-P1023|sara.sato729@example.com|01.06.2026|WEB|2|AMER
WR-202600126|SKU-P1060|zoe.novak589@example.com|05.08.2026|SHOP|1|AMER
WR-202500127|SKU-P1095|kai.svensson266@example.com|08.03.2025|WEB|1|AMER
WR-202500128|SKU-P1065|kai.fischer439@example.com|29.11.2025|WEB|1|APJ
WR-202500129|SKU-P1042|orders@jensen489.example.com|03.11.2025|BULK|1|LATM
WR-202600130|SKU-P1034|mia.egan138@example.com|02.05.2026|SHOP|1|AMER
WR-202500131|SKU-P1113|orders@kowalski364.example.com|19.03.2025|BULK|2|LATM
WR-202600132|SKU-P1112|ava.fischer685@example.com|13.07.2026|SHOP|1|EMEA
WR-202500133|SKU-P1024|orders@dubois304.example.com|04.08.2025|BULK|2|LATM
WR-202500134|SKU-P1068|diego.quinn78@example.com|20.06.2025|MKT|1|AMER
WR-202600135|SKU-P1021|MARCO.SATO643@EXAMPLE.COM|22.08.2026|WEB|2|AMER
WR-202500136|SKU-P1099|orders@egan397.example.com|29.11.2025|WEB|3|AMER
WR-202600137|SKU-P1104|maya.larsen661@example.com|03.05.2026|WEB|1|EMEA
WR-202600138|SKU-P1050|orders@larsen370.example.com|16.06.2026|BULK|3|APJ
WR-202500139|SKU-P1039|clara.marchetti721@example.com|23.12.2025|MKT|2|APJ
WR-202500140|SKU-P1045|leo.voss22@example.com|08.04.2025|SHOP|2|LATM
WR-202600141|SKU-P1118|maya.petrov765@example.com|26.03.2026|WEB|1|LATM
WR-202600142|SKU-P1119|freya.nilsson311@example.com|11.06.2026|SHOP|1|LATM
WR-202500143|SKU-P1000|arjun.barros323@example.com|08.05.2025|WEB|2|EMEA
WR-202500144|SKU-P1046|noah.kowalski199@example.com|14.08.2025|WEB|1|EMEA
WR-202500145|SKU-P1074|viktor.marchetti289@example.com|21.11.2025|SHOP|1|EMEA
WR-202500146|SKU-P1114|orders@meyer280.example.com|11.09.2025|BULK|1|EMEA
WR-202500147|SKU-P1012|orders@quinn302.example.com|14.01.2025|BULK|2|EMEA
WR-202500148|SKU-P1054|orders@romero203.example.com|30.12.2025|BULK|1|AMER
WR-202500149|SKU-P1039|orders@egan169.example.com|20.10.2025|BULK|5|AMER
WR-202600150|SKU-P1042|freya.silva568@example.com|24.08.2026|MKT|2|AMER
WR-202600151|SKU-P1015|mateo.costa6@example.com|14.07.2026|SHOP|3|AMER
WR-202600152|SKU-P1100|orders@ortiz484.example.com|03.05.2026|WEB|3|EMEA
WR-202600153|SKU-P1051|kenji.svensson319@example.com|19.03.2026|WEB|1|AMER
WR-202600154|SKU-P1096|sofia.dubois724@example.com|18.08.2026|SHOP|1|AMER
WR-202600155|SKU-P1070|orders@larsen697.example.com|18.05.2026|BULK|3|APJ
WR-202600156|SKU-P1101|nadia.holm100@example.com|16.07.2026|WEB|1|AMER
WR-202600157|SKU-P1105|priya.fontaine443@example.com|04.01.2026|MKT|1|LATM
WR-202500158|SKU-P1073|orders@tanaka149.example.com|29.09.2025|BULK|1|EMEA
WR-202500159|SKU-P1048|clara.romero352@example.com|22.09.2025|MKT|3|APJ
WR-202500160|SKU-P1014|maya.kowalski744@example.com|19.09.2025|MKT|3|LATM
WR-202500161|SKU-P1112|yuki.duarte723@example.com|21.11.2025|WEB|2|EMEA
WR-202600162|SKU-P1097|orders@tanaka321.example.com|23.01.2026|WEB|2|AMER
WR-202600163|SKU-P1114|tomas.ferreira506@example.com|21.05.2026|MKT|2|EMEA
WR-202500164|SKU-P1028|zoe.silva172@example.com|09.05.2025|WEB|2|AMER
WR-202500165|SKU-P1021|unknown.buyer165@example.net|24.03.2025|BULK|1|AMER
WR-202600166|SKU-P1052|orders@vargas57.example.com|09.07.2026|BULK|3|APJ
WR-202500167|SKU-P1064|orders@voss631.example.com|03.11.2025|BULK|1|LATM
WR-202500168|SKU-P1096|ethan.sato760@example.com|24.11.2025|SHOP|2|EMEA
WR-202500169|SKU-P1091|orders@svensson318.example.com|20.08.2025|BULK|3|EMEA
WR-202600170|SKU-P1105|hugo.weber701@example.com|05.08.2026|WEB|2|EMEA
WR-202500171|SKU-P1052|marco.svensson654@example.com|21.05.2025|MKT|1|EMEA
WR-202600172|SKU-P1038|priya.hartley222@example.com|28.04.2026|SHOP|3|AMER
WR-202600173|SKU-P1112|freya.novak160@example.com|12.06.2026|SHOP|3|AMER
WR-202500174|SKU-P1113|tara.haddad176@example.com|11.12.2025|MKT|2|AMER
WR-202500175|SKU-P1075|orders@andersen603.example.com|22.04.2025|BULK|1|AMER
WR-202500176|SKU-P1032|viktor.holm2@example.com|23.04.2025|WEB|3|LATM
WR-202500177|SKU-P1088|orders@kowalski533.example.com|10.11.2025|WEB|1|EMEA
WR-202500178|SKU-P1118|nadia.costa174@example.com|22.07.2025|WEB|2|EMEA
WR-202600179|SKU-P1099|priya.andersen552@example.com|03.06.2026|MKT|1|APJ
WR-202500180|SKU-P1011|orders@tanaka101.example.com|05.04.2025|WEB|3| AMER 
WR-202600181|SKU-P1011|ines.berg381@example.com|10.08.2026|WEB|1|AMER
WR-202500182|SKU-P1054|owen.quinn146@example.com|10.12.2025|WEB|1|AMER
WR-202600183|SKU-P1057|mateo.okafor359@example.com|02.05.2026|WEB|2|EMEA
WR-202500184|SKU-P1052|noah.duarte232@example.com|21.08.2025|WEB|1|APJ
WR-202500185|SKU-P1009|orders@romero327.example.com|05.01.2025|WEB|3| EMEA 
WR-202500186|SKU-P1042|orders@egan397.example.com|15.04.2025|BULK|1|AMER
WR-202500187|SKU-P1021|orders@reyes664.example.com|29.10.2025|BULK|1|AMER
WR-202500188|SKU-P1089|orders@fischer66.example.com|02.02.2025|SHOP|2|AMER
WR-202500189|SKU-P1010|aisha.meyer644@example.com|12.12.2025|SHOP|2|AMER
WR-202600190|SKU-P1054|sara.moreau188@example.com|15.07.2026|WEB|3|AMER
WR-202500191|SKU-P1118|yuki.nilsson286@example.com|24.02.2025|WEB|3|EMEA
WR-202600192|SKU-P1088|owen.novak285@example.com|05.06.2026|MKT|2|EMEA
WR-202500193|SKU-P1106|ORDERS@LINDQVIST444.EXAMPLE.COM|15.12.2025|BULK|1|APJ
WR-202500194|SKU-P1104|owen.ito537@example.com|27.05.2025|WEB|1|EMEA
WR-202500195|SKU-P1024|NORA.HOLM139@EXAMPLE.COM|18.11.2025|MKT|5|EMEA
WR-202500196|SKU-P1083|sara.larsen192@example.com|03.03.2025|SHOP|1|LATM
WR-202600197|SKU-P1103|sam.larsen634@example.com|06.06.2026|WEB|2|AMER
WR-202600198|SKU-P1000|freya.ortiz44@example.com|17.08.2026|WEB|2|AMER
WR-202500199|SKU-P1113|orders@fontaine45.example.com|13.04.2025|WEB|1|LATM
WR-202500200|SKU-P1073|emma.moreau755@example.com|09.10.2025|WEB|1|AMER
WR-202500201|SKU-P1027|orders@keller584.example.com|31.03.2025|BULK|2|APJ
WR-202500202|SKU-P1090|orders@holm703.example.com|22.05.2025|BULK|2|APJ
WR-202500203|SKU-P1064|orders@egan637.example.com|29.03.2025|MKT|2|APJ
WR-202500204|SKU-P1067|kai.holm271@example.com|13.01.2025|SHOP|1|AMER
WR-202500205|SKU-P1014|diego.svensson291@example.com|22.07.2025|WEB|1|AMER
WR-202600206|SKU-P1062|orders@moreau399.example.com|09.03.2026|BULK|1|APJ
WR-202600207|SKU-P1055|lucas.kowalski89@example.com|21.02.2026|SHOP|1|EMEA
WR-202600208|SKU-P1071|orders@holm272.example.com|02.06.2026|BULK|2|AMER
WR-202500209|SKU-P1101|orders@jensen148.example.com|28.07.2025|SHOP|3|APJ
WR-202500210|SKU-P1021|kenji.ferreira523@example.com|01.04.2025|MKT|1|EMEA
WR-202500211|SKU-P1046|kai.svensson266@example.com|20.02.2025|MKT|2|AMER
WR-202500212|SKU-P1109|clara.keller111@example.com|08.07.2025|WEB|1|LATM
WR-202500213|SKU-P1063|leo.ito680@example.com|10.09.2025|WEB|1|EMEA
WR-202500214|SKU-P1041|orders@lindqvist475.example.com|24.03.2025|BULK|1|AMER
WR-202600215|SKU-P1095|ines.larsen131@example.com|12.01.2026|WEB|2| AMER 
WR-202500216|SKU-P1053|ines.reyes491@example.com|21.10.2025|MKT|3|EMEA
WR-202500217|SKU-P1016|EMMA.NILSSON28@EXAMPLE.COM|11.12.2025|WEB|2|EMEA
WR-202600218|SKU-P1011|tomas.hartley23@example.com|19.08.2026|WEB|3|AMER
WR-202500219|SKU-P1099|unknown.buyer219@example.net|10.07.2025|SHOP|3|AMER
WR-202500220|SKU-P1080|owen.quinn146@example.com|30.07.2025|WEB|2|AMER
WR-202500221|SKU-P1072|orders@weber296.example.com|11.12.2025|BULK|1|AMER
WR-202500222|SKU-P1064|lucas.kowalski618@example.com|20.06.2025|SHOP|1|APJ
WR-202600223|SKU-P1099|isla.bauer76@example.com|28.06.2026|WEB|5|APJ
WR-202500224|SKU-P1013|ELSA.HADDAD201@EXAMPLE.COM|06.04.2025|MKT|3|EMEA
WR-202500225|SKU-P1004|isla.andersen742@example.com|21.12.2025|WEB|1|LATM
WR-202600226|SKU-P1078|ORDERS@DUARTE396.EXAMPLE.COM|09.04.2026|BULK|2|AMER
WR-202500227|SKU-P1042|lucas.keller218@example.com|30.04.2025|WEB|3| AMER 
WR-202500228|SKU-P1051|nora.marchetti102@example.com|29.12.2025|MKT|1|AMER
WR-202500229|SKU-P1044|orders@fontaine464.example.com|21.08.2025|BULK|1|AMER
WR-202500230|SKU-P1050|ruben.ferreira279@example.com|04.09.2025|WEB|1|APJ
WR-202500231|SKU-P1075|diego.quinn78@example.com|10.09.2025|WEB|2|AMER
WR-202500232|SKU-P1062|orders@nilsson128.example.com|22.05.2025|BULK|2|EMEA
WR-202500233|SKU-P1026|clara.weber249@example.com|03.12.2025|WEB|1|AMER
WR-202500234|SKU-P1042|lucia.silva120@example.com|18.12.2025|SHOP|1|APJ
WR-202600235|SKU-P1032|ethan.sato313@example.com|25.04.2026|WEB|1|AMER
WR-202600236|SKU-P1025|emma.okafor67@example.com|03.08.2026|WEB|3|AMER
WR-202500237|SKU-P1045|maya.fischer763@example.com|21.03.2025|WEB|3|AMER
WR-202600238|SKU-P1098|ava.larsen466@example.com|28.06.2026|SHOP|1|LATM
WR-202500239|SKU-P1009|orders@novak421.example.com|06.06.2025|BULK|1|APJ
WR-202600240|SKU-P1045|sofia.vargas165@example.com|15.07.2026|MKT|2|AMER
WR-202500241|SKU-P1104|viktor.sato19@example.com|17.11.2025|MKT|3|AMER
WR-202600242|SKU-P1003|orders@ito776.example.com|26.02.2026|BULK|2|EMEA
WR-202500243|SKU-P1051|sara.klein46@example.com|12.08.2025|WEB|1|AMER
WR-202600244|SKU-P1094|sofia.quinn82@example.com|21.03.2026|WEB|1|LATM
WR-202500245|SKU-P1080|orders@barros379.example.com|18.12.2025|BULK|1|LATM
WR-202500246|SKU-P1083|mateo.jensen261@example.com|26.03.2025|SHOP|1|AMER
WR-202500247|SKU-P1097|orders@haddad771.example.com|21.07.2025|BULK|1|EMEA
WR-202500248|SKU-P1036|MIA.MOREAU583@EXAMPLE.COM|05.04.2025|MKT|3|AMER
WR-202600249|SKU-P1048|yuki.barros555@example.com|21.03.2026|WEB|2|LATM
WR-202500250|SKU-P1093|clara.romero352@example.com|28.05.2025|MKT|3|APJ
WR-202600251|SKU-P1103|orders@bauer276.example.com|23.07.2026|BULK|1|APJ
WR-202600252|SKU-P1089|viktor.holm2@example.com|01.01.2026|WEB|2|LATM
WR-202600253|SKU-P1055|orders@costa565.example.com|15.03.2026|WEB|1|APJ
WR-202600254|SKU-P1032|leo.berg610@example.com|30.04.2026|WEB|2|AMER
WR-202500255|SKU-P1070|maya.petrov765@example.com|27.06.2025|MKT|1|LATM
WR-202500256|SKU-P1102|lena.novak753@example.com|03.02.2025|WEB|2|LATM
WR-202600257|SKU-P1098|liam.larsen368@example.com|30.05.2026|WEB|5|EMEA
WR-202500258|SKU-P1001|maya.silva115@example.com|06.02.2025|SHOP|2|EMEA
WR-202500259|SKU-P1031|orders@lindqvist475.example.com|24.05.2025|WEB|3|AMER
WR-202500260|SKU-P1097|lucia.petrov650@example.com|11.07.2025|MKT|1|AMER
WR-202600261|SKU-P1033|diego.fontaine797@example.com|29.06.2026|MKT|3| AMER 
WR-202500262|SKU-P1055|nora.bauer529@example.com|08.06.2025|WEB|2|AMER
WR-202500263|SKU-P1031|leo.holm393@example.com|11.04.2025|SHOP|3|EMEA
WR-202600264|SKU-P1094|orders@weber96.example.com|12.05.2026|BULK|1|AMER
WR-202500265|SKU-P1076|orders@barros274.example.com|24.09.2025|BULK|1|APJ
WR-202500266|SKU-P1091|kenji.tanaka799@example.com|22.12.2025|MKT|3|EMEA
WR-202500267|SKU-P1103|felix.dubois143@example.com|02.11.2025|WEB|2|APJ
WR-202600268|SKU-P1009|nadia.romero348@example.com|19.07.2026|WEB|3|AMER
WR-202500269|SKU-P1114|orders@dubois304.example.com|15.05.2025|BULK|1|LATM
WR-202500270|SKU-P1101|orders@romero71.example.com|22.05.2025|BULK|1|APJ
WR-202500271|SKU-P1055|lucia.svensson121@example.com|21.12.2025|WEB|2|AMER
WR-202500272|SKU-P1001|orders@bauer276.example.com|29.06.2025|WEB|5|APJ
WR-202500273|SKU-P1072|orders@svensson318.example.com|20.08.2025|BULK|3|EMEA
WR-202500274|SKU-P1044|nadia.reyes108@example.com|18.11.2025|MKT|5|AMER
WR-202600275|SKU-P1110|LUCAS.REYES383@EXAMPLE.COM|13.04.2026|WEB|1|EMEA
WR-202500276|SKU-P1055|orders@kowalski782.example.com|05.08.2025|BULK|2|EMEA
WR-202500277|SKU-P1038|lucas.petrov252@example.com|28.04.2025|SHOP|1|EMEA
WR-202600278|SKU-P1025|mateo.jensen261@example.com|20.06.2026|MKT|2|AMER
WR-202600279|SKU-P1032|orders@svensson767.example.com|06.01.2026|BULK|1|AMER
WR-202500280|SKU-P1055|orders@romero255.example.com|11.05.2025|WEB|1|EMEA
WR-202500281|SKU-P1003|aisha.romero542@example.com|04.06.2025|WEB|2|EMEA
WR-202600282|SKU-P1093|orders@meyer490.example.com|01.01.2026|BULK|1|EMEA
WR-202600283|SKU-P1017|viktor.costa625@example.com|17.05.2026|WEB|1| AMER 
WR-202500284|SKU-P1114|orders@egan637.example.com|09.12.2025|BULK|1|APJ
WR-202500285|SKU-P1041|orders@kowalski533.example.com|11.11.2025|BULK|1|EMEA
WR-202600286|SKU-P1037|arjun.tanaka14@example.com|16.07.2026|SHOP|5|AMER
WR-202500287|SKU-P1002|orders@larsen123.example.com|01.04.2025|BULK|1|APJ
WR-202500288|SKU-P1101|sam.quinn168@example.com|03.03.2025|WEB|1|EMEA
WR-202500289|SKU-P1032|clara.weber249@example.com|03.12.2025|WEB|2|AMER
WR-202600290|SKU-P1029|sofia.nguyen417@example.com|14.07.2026|SHOP|1|EMEA
WR-202500291|SKU-P1112|aisha.romero9@example.com|14.01.2025|WEB|1|LATM
WR-202600292|SKU-P1093|orders@kowalski702.example.com|19.06.2026|WEB|1|EMEA
WR-202500293|SKU-P1018|orders@vargas57.example.com|18.12.2025|BULK|1|APJ
WR-202600294|SKU-P1059|orders@quinn256.example.com|28.02.2026|WEB|1|AMER
WR-202600295|SKU-P1095|orders@kowalski591.example.com|09.07.2026|BULK|1|AMER
WR-202600296|SKU-P1103|jonas.weber751@example.com|23.06.2026|WEB|1|LATM
WR-202500297|SKU-P1018|liam.egan73@example.com|21.07.2025|MKT|2|AMER
WR-202500298|SKU-P1046|orders@ferreira465.example.com|03.11.2025|BULK|3|APJ
WR-202600299|SKU-P1109|orders@hartley454.example.com|13.06.2026|WEB|1|EMEA
WR-202500300|SKU-P1060|orders@marchetti599.example.com|11.11.2025|WEB|2|AMER
WR-202600301|SKU-P1103|orders@dubois657.example.com|23.07.2026|BULK|1|EMEA
WR-202600302|SKU-P1112|orders@quinn706.example.com|10.02.2026|WEB|1|APJ
WR-202500303|SKU-P1103|ORDERS@TANAKA321.EXAMPLE.COM|06.08.2025|MKT|1|AMER
WR-202600304|SKU-P1113|lucia.duarte606@example.com|14.05.2026|SHOP|1|APJ
WR-202600305|SKU-P1029|aisha.meyer644@example.com|29.05.2026|WEB|1|AMER
WR-202500306|SKU-P1104|orders@ito213.example.com|23.03.2025|WEB|1|APJ
WR-202500307|SKU-P1045|orders@holm627.example.com|11.11.2025|BULK|1|EMEA
WR-202500308|SKU-P1000|marco.costa156@example.com|27.04.2025|WEB|1|AMER
